neuron,mean,sd
778,-0.49764004,0.14642048
779,-0.54146725,0.16109018
780,-0.6823258,0.36893505
781,-0.44251275,0.17364447
782,-0.49595302,0.15504895
783,-0.5322997,0.18155126
784,-0.43754265,0.14124747
785,-0.66836864,0.38397348
786,-0.5335867,0.1822364
787,-0.485769,0.16741061
788,-0.5108196,0.15094832
789,-0.30123216,0.14294825
790,-0.44796428,0.14419146
791,-0.6703294,0.38809085
792,-0.44848284,0.15218407
793,-0.41818765,0.25360176
794,-0.715835,0.45448446
795,-0.38563195,0.13795315
796,-0.41811806,0.14763042
797,-0.49448454,0.14616796
798,-0.5650914,0.15583923
799,-0.78425056,0.47512984
800,-0.59378874,0.40340662
801,-0.8954921,0.48848656
802,-0.5222627,0.14269148
803,-0.6518475,0.3673326
804,-0.6406367,0.40846345
805,-0.45695662,0.16273482
806,-0.5664612,0.34232622
807,-0.47412565,0.14199726
