alpha_u,alpha_n,alpha_i,ndcg,avgpop@10,gini@10,cov@10,covn@10,ndcgpassive@10,ndcgneutral@10,ndcgactive@10,ndcgtail@10,ndcgmid@10,ndcghead@10,ndcgtailuser@10,ndcgmiduser@10,ndcgheaduser@10,epochtime
1.0,0.5,4.0,0.071,2697.5955,0.9962,0.0526,0.0205,0.0671,0.0671,0.106,0.0001,0.0001,0.0709,0.0718,0.0718,0.0634,0.45219993591308594
2.0,0.5,4.0,0.0712,2658.5938,0.9961,0.0589,0.0235,0.0671,0.0671,0.108,0.0002,0.0002,0.071,0.0721,0.0721,0.0631,0.45097899436950684
3.0,0.5,4.0,0.0709,2601.363,0.9957,0.0726,0.0284,0.0668,0.0668,0.1077,0.0004,0.0004,0.0705,0.0719,0.0719,0.0619,0.45377540588378906
4.0,0.5,4.0,0.0688,2447.2222,0.9948,0.0826,0.0372,0.0648,0.0648,0.1048,0.0012,0.0012,0.0676,0.0699,0.0699,0.0593,0.4501941204071045
5.0,0.5,4.0,0.0615,1939.426,0.9928,0.1007,0.0523,0.0578,0.0578,0.0953,0.0032,0.0032,0.0583,0.0624,0.0624,0.0539,0.4504387378692627
6.0,0.5,4.0,0.0392,904.2551,0.9885,0.1147,0.0724,0.0358,0.0358,0.0694,0.0058,0.0058,0.0334,0.0398,0.0398,0.0333,0.4514119625091553
0,0.5,5.0,0.0705,2720.9735,0.9963,0.0506,0.0178,0.0668,0.0668,0.1038,0.0,0.0,0.0705,0.0713,0.0713,0.0639,0.45163440704345703
1.0,0.5,5.0,0.0711,2697.6664,0.9962,0.0526,0.0205,0.0672,0.0672,0.1062,0.0001,0.0001,0.071,0.0719,0.0719,0.0634,0.4538750648498535
2.0,0.5,5.0,0.0711,2658.6976,0.9961,0.0589,0.0235,0.0671,0.0671,0.108,0.0002,0.0002,0.071,0.0721,0.0721,0.063,0.4511744976043701
3.0,0.5,5.0,0.0709,2601.3064,0.9957,0.0726,0.0284,0.0668,0.0668,0.1077,0.0004,0.0004,0.0705,0.0719,0.0719,0.062,0.45156311988830566
4.0,0.5,5.0,0.0688,2447.1833,0.9948,0.0824,0.0372,0.0648,0.0648,0.1048,0.0012,0.0012,0.0676,0.0699,0.0699,0.0593,0.4516315460205078
5.0,0.5,5.0,0.0615,1939.3825,0.9928,0.1005,0.0523,0.0578,0.0578,0.0953,0.0032,0.0032,0.0583,0.0624,0.0624,0.0539,0.4508321285247803
6.0,0.5,5.0,0.0392,904.2492,0.9885,0.1147,0.0721,0.0358,0.0358,0.0694,0.0058,0.0058,0.0334,0.0398,0.0398,0.0333,0.45046114921569824
0,0.5,6.0,0.0705,2721.0607,0.9963,0.0506,0.0178,0.0668,0.0668,0.1038,0.0,0.0,0.0705,0.0712,0.0712,0.0638,0.45110034942626953
1.0,0.5,6.0,0.0711,2697.7122,0.9962,0.0526,0.0205,0.0672,0.0672,0.1062,0.0001,0.0001,0.071,0.0719,0.0719,0.0633,0.45105838775634766
2.0,0.5,6.0,0.0712,2658.7335,0.9961,0.0589,0.0235,0.0671,0.0671,0.108,0.0002,0.0002,0.071,0.0721,0.0721,0.063,0.45000219345092773
